Region Code: EU
"Region Name: Europe"
Country Code: LUX
"Country Name: Luxembourg"
Export date: 12/2/2022 10:47:49 AM
Source location: "WHO Mortality Database portal"
Metadata information: 

Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CG0820,Unipolar depressive disorders,2001,Female,Age_all,[All],1.00000000,0.05387931,0.19341249,0.44619352,
CG0900,Drug use disorders,2001,Female,Age_all,[All],3.00000000,0.16163793,0.93946248,1.33858057,
CG0910,Post-traumatic stress disorder,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0980,Sense organ diseases,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0990,Glaucoma,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1070,Ischaemic heart disease,2001,Female,Age_all,[All],202.00000000,10.88362069,38.65924100,90.13109166,
CG1080,Cerebrovascular disease,2001,Female,Age_all,[All],254.00000000,13.68534483,48.64262943,113.33315486,
CG1170,Cirrhosis of the liver,2001,Female,Age_all,[All],26.00000000,1.40086207,8.36172491,11.60103160,
CG1180,Appendicitis,2001,Female,Age_all,[All],1.00000000,0.05387931,0.65731325,0.44619352,
CG1200,Genitourinary diseases,2001,Female,Age_all,[All],19.00000000,1.02370690,3.33394497,8.47767694,
CG1210,Nephritis and nephrosis,2001,Female,Age_all,[All],14.00000000,0.75431034,2.43108238,6.24670932,
CG1300,Other musculoskeletal disorders,2001,Female,Age_all,[All],5.00000000,0.26939655,1.18500410,2.23096762,
CG1310,Congenital anomalies,2001,Female,Age_all,[All],5.00000000,0.26939655,3.50628648,2.23096762,
CG1380,Renal agenesis,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1390,Down syndrome,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1400,Congenital heart anomalies,2001,Female,Age_all,[All],1.00000000,0.05387931,0.65731325,0.44619352,
CG1470,Other oral diseases,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1475,Sudden infant death syndrome,2001,Female,Age_all,[All],2.00000000,0.10775862,1.46110666,0.89238705,
CG1541,Exposure to mechanical forces,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1542,Natural disasters,2001,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1610,Ill-defined diseases,2001,Female,Age_all,[All],64.00000000,3.44827586,11.72796024,28.55638548,
CG1605,Ill-defined injuries/accidents,2002,Male,Age_all,[All],4.00000000,0.22471910,1.68765158,1.81883495,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2002,Female,Age_all,[All],128.00000000,7.02139331,26.37990784,56.57133513,
CG0060,Chlamydia,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0110,Childhood-cluster diseases,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0140,Diphtheria,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0190,Hepatitis C,2002,Female,Age_all,[All],2.00000000,0.10970927,0.36640518,0.88392711,
CG0240,Schistosomiasis,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0270,Onchocerciasis,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0320,Intestinal nematode infections,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0370,Other infectious diseases,2002,Female,Age_all,[All],20.00000000,1.09709270,3.96548926,8.83927111,
CG0400,Upper respiratory infections,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0450,Hypertensive disorders,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0500,Low birth weight,2002,Female,Age_all,[All],4.00000000,0.21941854,2.77849790,1.76785422,
CG0530,Nutritional deficiencies,2002,Female,Age_all,[All],3.00000000,0.16456391,0.46978321,1.32589067,
CG0580,Other nutritional disorders,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0612,b. Nasopharynx cancers,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0630,Stomach cancer,2002,Female,Age_all,[All],15.00000000,0.82281953,3.45922560,6.62945334,
CG0680,Melanoma and other skin cancers,2002,Female,Age_all,[All],8.00000000,0.43883708,2.36535799,3.53570845,
CG0710,Corpus uteri cancer,2002,Female,Age_all,[All],12.00000000,0.65825562,2.52290257,5.30356267,
CG0740,Bladder cancer,2002,Female,Age_all,[All],6.00000000,0.32912781,1.58175614,2.65178133,
CG0745,Mesothelioma,2002,Female,Age_all,[All],1.00000000,0.05485464,0.17634451,0.44196356,
CG0760,Leukaemia,2002,Female,Age_all,[All],17.00000000,0.93252880,3.61717801,7.51338045,
CG0800,Endocrine disorders,2002,Female,Age_all,[All],19.00000000,1.04223807,4.23831779,8.39730756,
CG1099,Other circulatory diseases,2002,Male,Age_all,[All],68.00000000,3.82022472,23.44609617,30.92019407,
CG0020,Infectious and parasitic diseases,2002,Female,Age_all,[All],27.00000000,1.48107515,5.81648035,11.93301600,
CG0050,Syphilis,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0070,Gonorrhoea,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0100,Diarrhoeal diseases,2002,Female,Age_all,[All],3.00000000,0.16456391,0.96710146,1.32589067,
CG0150,Measles,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0180,Hepatitis B,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0200,Malaria,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0230,Chagas disease,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0280,Leprosy,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0310,Trachoma,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0360,Other intestinal infections,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0410,Otitis media,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0440,Maternal sepsis,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0490,Perinatal conditions,2002,Female,Age_all,[All],7.00000000,0.38398245,4.86237133,3.09374489,
CG0540,Protein-energy malnutrition,2002,Female,Age_all,[All],2.00000000,0.10970927,0.32965018,0.88392711,
CG0570,Iron-deficiency anaemia,2002,Female,Age_all,[All],1.00000000,0.05485464,0.14013304,0.44196356,
CG0611,a. Lip and oral cavity cancers,2002,Female,Age_all,[All],1.00000000,0.05485464,0.18951714,0.44196356,
CG0640,Colon and rectum cancers,2002,Female,Age_all,[All],57.00000000,3.12671421,12.08263855,25.19192267,
CG0670,"Trachea, bronchus, lung cancers",2002,Female,Age_all,[All],33.00000000,1.81020296,9.03280862,14.58479734,
CG0700,Cervix uteri cancer,2002,Female,Age_all,[All],6.00000000,0.32912781,1.87791834,2.65178133,
CG0741,Brain and nervous system cancers,2002,Female,Age_all,[All],9.00000000,0.49369172,2.50994963,3.97767200,
CG0744,Thyroid cancer,2002,Female,Age_all,[All],3.00000000,0.16456391,0.71732015,1.32589067,
CG0880,Parkinson disease,2000,Female,Age_all,[All],17.00000000,0.93406593,2.96743697,7.63598796,
CG0890,Multiple sclerosis,2000,Female,Age_all,[All],3.00000000,0.16483516,0.99149149,1.34752729,
CG0900,Drug use disorders,2000,Female,Age_all,[All],8.00000000,0.43956044,3.87939714,3.59340610,
CG0970,Other neuropsychiatric disorders,2000,Female,Age_all,[All],15.00000000,0.82417582,2.98013867,6.73763644,
CG0980,Sense organ diseases,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1060,Hypertensive heart disease,2000,Female,Age_all,[All],26.00000000,1.42857143,4.27656886,11.67856982,
CG1070,Ischaemic heart disease,2000,Female,Age_all,[All],199.00000000,10.93406593,35.44807013,89.38597673,
CG1150,Digestive diseases,2000,Female,Age_all,[All],108.00000000,5.93406593,24.26355796,48.51098235,
CG1160,Peptic ulcer disease,2000,Female,Age_all,[All],6.00000000,0.32967033,0.99762472,2.69505457,
CG1170,Cirrhosis of the liver,2000,Female,Age_all,[All],27.00000000,1.48351648,8.96302529,12.12774559,
CG1190,Other digestive diseases,2000,Female,Age_all,[All],43.00000000,2.36263736,8.36046902,19.31455779,
CG1200,Genitourinary diseases,2000,Female,Age_all,[All],21.00000000,1.15384615,3.69232263,9.43269101,
CG1290,Back pain,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1300,Other musculoskeletal disorders,2000,Female,Age_all,[All],5.00000000,0.27472527,0.83558676,2.24587881,
CG1370,Oesophageal atresia,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1380,Renal agenesis,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1390,Down syndrome,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1460,Edentulism,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1470,Other oral diseases,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1540,Drownings,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1541,Exposure to mechanical forces,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1600,Other intentional injuries,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1610,Ill-defined diseases,2000,Female,Age_all,[All],62.00000000,3.40659341,10.98883744,27.84889727,
CG0768,Ill-defined malignant neoplasms,2001,Female,Age_all,[All],43.00000000,2.31681034,10.81506129,19.18632149,
CG0769,Other malignant neoplasms,2001,Female,Age_all,[All],18.00000000,0.96982759,4.13181109,8.03148342,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2002,All,Age_all,[All],224.00000000,6.21704135,30.82308119,50.20350349,
CG0020,Infectious and parasitic diseases,2002,All,Age_all,[All],57.00000000,1.58201499,7.92129765,12.77499866,
CG0100,Diarrhoeal diseases,2002,All,Age_all,[All],4.00000000,0.11101860,0.63741818,0.89649113,
CG0110,Childhood-cluster diseases,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0180,Hepatitis B,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0190,Hepatitis C,2002,All,Age_all,[All],2.00000000,0.05550930,0.22833554,0.44824557,
CG0200,Malaria,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0270,Onchocerciasis,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0280,Leprosy,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0360,Other intestinal infections,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0370,Other infectious diseases,2002,All,Age_all,[All],42.00000000,1.16569525,5.53962463,9.41315690,
CG0440,Maternal sepsis,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0450,Hypertensive disorders,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0460,Obstructed labour,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0530,Nutritional deficiencies,2002,All,Age_all,[All],6.00000000,0.16652789,0.73595929,1.34473670,
CG0540,Protein-energy malnutrition,2002,All,Age_all,[All],2.00000000,0.05550930,0.22353387,0.44824557,
CG0611,a. Lip and oral cavity cancers,2002,All,Age_all,[All],8.00000000,0.22203719,1.30302598,1.79298227,
CG0612,b. Nasopharynx cancers,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age_all,[All],182.00000000,5.05134610,26.79208147,40.79034658,
CG0680,Melanoma and other skin cancers,2002,All,Age_all,[All],13.00000000,0.36081044,2.15463975,2.91359618,
CG0731,Testicular cancer,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0850,Epilepsy,2002,Female,Age_all,[All],4.00000000,0.21941854,0.89420819,1.76785422,
CG0900,Drug use disorders,2002,Female,Age_all,[All],2.00000000,0.10970927,0.74363019,0.88392711,
CG0930,Panic disorder,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0980,Sense organ diseases,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1030,Other sense organ disorders,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1060,Hypertensive heart disease,2002,Female,Age_all,[All],28.00000000,1.53592979,4.92314085,12.37497956,
CG1120,Chronic obstructive pulmonary disease,2002,Female,Age_all,[All],47.00000000,2.57816786,9.73023512,20.77228712,
CG1170,Cirrhosis of the liver,2002,Female,Age_all,[All],20.00000000,1.09709270,6.47864799,8.83927111,
CG1182,Paralytic ileus and intestinal obstruction,2002,Female,Age_all,[All],8.00000000,0.43883708,1.32901044,3.53570845,
CG1200,Genitourinary diseases,2002,Female,Age_all,[All],12.00000000,0.65825562,2.35819634,5.30356267,
CG1240,Skin diseases,2002,Female,Age_all,[All],2.00000000,0.10970927,0.53528382,0.88392711,
CG1260,Rheumatoid arthritis,2002,Female,Age_all,[All],4.00000000,0.21941854,0.86493399,1.76785422,
CG1290,Back pain,2002,Female,Age_all,[All],1.00000000,0.05485464,0.14013304,0.44196356,
CG1340,Anorectal atresia,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1370,Oesophageal atresia,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1390,Down syndrome,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1420,Other Congenital anomalies,2002,Female,Age_all,[All],1.00000000,0.05485464,0.69462448,0.44196356,
CG1470,Other oral diseases,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1490,Unintentional injuries,2002,Female,Age_all,[All],62.00000000,3.40098738,14.55672971,27.40174045,
CG1510,Poisonings,2002,Female,Age_all,[All],1.00000000,0.05485464,0.63949599,0.44196356,
CG1540,Drownings,2002,Female,Age_all,[All],1.00000000,0.05485464,0.17634451,0.44196356,
CG1570,Self-inflicted injuries,2002,Female,Age_all,[All],22.00000000,1.20680197,7.62096109,9.72319823,
CG1600,Other intentional injuries,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0753,c. Multiple myeloma,2002,Female,Age_all,[All],10.00000000,0.54854635,2.15427803,4.41963556,
CG0810,Neuropsychiatric conditions,2002,Female,Age_all,[All],91.00000000,4.99177180,18.29945427,40.21868357,
CG0840,Schizophrenia,2002,Female,Age_all,[All],1.00000000,0.05485464,0.22627214,0.44196356,
CG0890,Multiple sclerosis,2002,Female,Age_all,[All],4.00000000,0.21941854,1.25440868,1.76785422,
CG0940,Insomnia (primary),2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0970,Other neuropsychiatric disorders,2002,Female,Age_all,[All],14.00000000,0.76796489,3.43095678,6.18748978,
CG1020,"Hearing loss, adult onset ",2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1070,Ischaemic heart disease,2002,Female,Age_all,[All],190.00000000,10.42238069,36.73072598,83.97307558,
CG1110,Respiratory diseases,2002,Female,Age_all,[All],89.00000000,4.88206253,18.59843237,39.33475646,
CG1160,Peptic ulcer disease,2002,Female,Age_all,[All],3.00000000,0.16456391,0.59213378,1.32589067,
CG1183,Inflammatory bowel disease,2002,Female,Age_all,[All],1.00000000,0.05485464,0.35145851,0.44196356,
CG1190,Other digestive diseases,2002,Female,Age_all,[All],38.00000000,2.08447614,7.55250991,16.79461512,
CG1250,Musculoskeletal diseases,2002,Female,Age_all,[All],13.00000000,0.71311026,2.55137845,5.74552622,
CG1300,Other musculoskeletal disorders,2002,Female,Age_all,[All],7.00000000,0.38398245,1.40617838,3.09374489,
CG1330,Anencephaly,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1380,Renal agenesis,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1430,Oral conditions,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1460,Edentulism,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1500,Road traffic accidents,2002,Female,Age_all,[All],9.00000000,0.49369172,3.21504575,3.97767200,
CG1541,Exposure to mechanical forces,2002,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1560,Intentional injuries,2002,Female,Age_all,[All],26.00000000,1.42622052,9.20830183,11.49105245,
CG1610,Ill-defined diseases,2002,Female,Age_all,[All],82.00000000,4.49808009,14.48450648,36.24101157,
CG1099,Other circulatory diseases,2002,Female,Age_all,[All],96.00000000,5.26604498,18.76196469,42.42850135,
CG0732,Kidney cancer,2002,All,Age_all,[All],16.00000000,0.44407438,2.16052062,3.58596453,
CG0751,a. Hodgkin lymphoma,2002,All,Age_all,[All],2.00000000,0.05550930,0.24366648,0.44824557,
CG0752,b. Non-Hodgkin lymphoma,2002,All,Age_all,[All],33.00000000,0.91590341,4.93113080,7.39605185,
CG0820,Unipolar depressive disorders,2002,All,Age_all,[All],1.00000000,0.02775465,0.10410147,0.22412278,
CG0830,Bipolar disorder,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0910,Post-traumatic stress disorder,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0920,Obsessive-compulsive disorder,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1000,Cataracts,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1010,"Vision disorders, age-related",2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1080,Cerebrovascular disease,2002,All,Age_all,[All],410.00000000,11.37940605,50.83666610,91.89034121,
CG1090,Inflammatory heart diseases,2002,All,Age_all,[All],55.00000000,1.52650569,7.28568975,12.32675309,
CG1180,Appendicitis,2002,All,Age_all,[All],1.00000000,0.02775465,0.18060541,0.22412278,
CG1181,Gastritis and duodenitis,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1220,Benign prostatic hypertrophy,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1230,Other genitourinary system diseases,2002,All,Age_all,[All],6.00000000,0.16652789,0.65626408,1.34473670,
CG1300,Other musculoskeletal disorders,2002,All,Age_all,[All],14.00000000,0.38856508,1.70979148,3.13771897,
CG1310,Congenital anomalies,2002,All,Age_all,[All],7.00000000,0.19428254,1.96084032,1.56885948,
CG1390,Down syndrome,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1400,Congenital heart anomalies,2002,All,Age_all,[All],1.00000000,0.02775465,0.26036125,0.22412278,
CG1475,Sudden infant death syndrome,2002,All,Age_all,[All],3.00000000,0.08326395,1.01693023,0.67236835,
CG1480,Injuries,2002,All,Age_all,[All],248.00000000,6.88315293,44.23914306,55.58245029,
CG1541,Exposure to mechanical forces,2002,All,Age_all,[All],3.00000000,0.08326395,0.58393747,0.67236835,
CG1542,Natural disasters,2002,All,Age_all,[All],1.00000000,0.02775465,0.31614754,0.22412278,
CG0768,Ill-defined malignant neoplasms,2002,Female,Age_all,[All],30.00000000,1.64563906,7.20296310,13.25890667,
CG1098,Ill-defined circulatory diseases,2002,Female,Age_all,[All],184.00000000,10.09325288,29.88600300,81.32129425,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2003,All,Age_all,[All],283.00000000,7.20101781,38.44036460,62.66052608,
CG0040,STDs excluding HIV,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0060,Chlamydia,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0090,HIV/AIDS,2003,All,Age_all,[All],3.00000000,0.07633588,0.51998357,0.66424586,
CG0140,Diphtheria,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0170,Meningitis,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0190,Hepatitis C,2003,All,Age_all,[All],4.00000000,0.10178117,0.67887886,0.88566115,
CG0220,Trypanosomiasis,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0270,Onchocerciasis,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0300,Japanese encephalitis,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0320,Intestinal nematode infections,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0350,Hookworm disease,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0400,Upper respiratory infections,2003,All,Age_all,[All],1.00000000,0.02544529,0.10737343,0.22141529,
CG0430,Maternal haemorrhage,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0450,Hypertensive disorders,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0480,Other maternal conditions,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0530,Nutritional deficiencies,2003,All,Age_all,[All],8.00000000,0.20356234,0.89369960,1.77132229,
CG0560,Vitamin A deficiency,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0580,Other nutritional disorders,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0610,Mouth and oropharynx cancers,2003,All,Age_all,[All],29.00000000,0.73791349,4.62843970,6.42104331,
CG0630,Stomach cancer,2003,All,Age_all,[All],41.00000000,1.04325700,5.81175614,9.07802675,
CG0000,All Causes,2003,All,Age_all,[All],3930.00000000,100.00000000,521.28611866,870.16207599,
CG0050,Syphilis,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0100,Diarrhoeal diseases,2003,All,Age_all,[All],4.00000000,0.10178117,0.59324501,0.88566115,
CG0130,Poliomyelitis,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0180,Hepatitis B,2003,All,Age_all,[All],2.00000000,0.05089059,0.33864790,0.44283057,
CG0230,Chagas disease,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0260,lymphatic filariasis,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0310,Trachoma,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0360,Other intestinal infections,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0390,Lower respiratory infections,2003,All,Age_all,[All],183.00000000,4.65648855,21.97095424,40.51899743,
CG0440,Maternal sepsis,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0490,Perinatal conditions,2003,All,Age_all,[All],13.00000000,0.33078880,4.46737080,2.87839872,
CG0520,Other perinatal conditions,2003,All,Age_all,[All],7.00000000,0.17811705,2.40550736,1.54990701,
CG0570,Iron-deficiency anaemia,2003,All,Age_all,[All],7.00000000,0.17811705,0.78632617,1.54990701,
CG0611,a. Lip and oral cavity cancers,2003,All,Age_all,[All],8.00000000,0.20356234,1.23410341,1.77132229,
CG0620,Oesophagus cancer,2003,All,Age_all,[All],21.00000000,0.53435115,3.02339345,4.64972102,
CG0670,"Trachea, bronchus, lung cancers",2003,All,Age_all,[All],219.00000000,5.57251908,31.94453825,48.48994775,
CG0700,Cervix uteri cancer,2003,All,Age_all,[All],1.00000000,0.02544529,0.16024077,0.22141529,
CG0730,Prostate cancer,2003,All,Age_all,[All],46.00000000,1.17048346,5.61804273,10.18510318,
CG0742,Gallbladder and biliary tract cancer,2003,All,Age_all,[All],1.00000000,0.02544529,0.12536873,0.22141529,
CG0751,a. Hodgkin lymphoma,2003,All,Age_all,[All],1.00000000,0.02544529,0.10737343,0.22141529,
CG0760,Leukaemia,2003,All,Age_all,[All],26.00000000,0.66157761,3.58186771,5.75679745,
CG0820,Unipolar depressive disorders,2003,All,Age_all,[All],4.00000000,0.10178117,0.45449837,0.88566115,
CG0768,Ill-defined malignant neoplasms,2002,All,Age_all,[All],50.00000000,1.38773245,6.88315035,11.20613917,
CG0769,Other malignant neoplasms,2002,All,Age_all,[All],29.00000000,0.80488482,4.26456932,6.49956072,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2002,Male,Age_all,[All],96.00000000,5.39325843,36.72697618,43.65203869,
CG0020,Infectious and parasitic diseases,2002,Male,Age_all,[All],30.00000000,1.68539326,10.98374229,13.64126209,
CG0030,Tuberculosis,2002,Male,Age_all,[All],1.00000000,0.05617978,0.37151981,0.45470874,
CG0100,Diarrhoeal diseases,2002,Male,Age_all,[All],1.00000000,0.05617978,0.40486867,0.45470874,
CG0110,Childhood-cluster diseases,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0190,Hepatitis C,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0200,Malaria,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0270,Onchocerciasis,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0280,Leprosy,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0290,Dengue,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0360,Other intestinal infections,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0370,Other infectious diseases,2002,Male,Age_all,[All],22.00000000,1.23595506,8.13464532,10.00359220,
CG0520,Other perinatal conditions,2002,Male,Age_all,[All],1.00000000,0.05617978,0.66206395,0.45470874,
CG0530,Nutritional deficiencies,2002,Male,Age_all,[All],3.00000000,0.16853933,1.03424913,1.36412621,
CG0600,Malignant neoplasms,2002,Male,Age_all,[All],494.00000000,27.75280899,171.62770287,224.62611574,
CG0610,Mouth and oropharynx cancers,2002,Male,Age_all,[All],25.00000000,1.40449438,8.96102469,11.36771841,
CG0611,a. Lip and oral cavity cancers,2002,Male,Age_all,[All],7.00000000,0.39325843,2.56703155,3.18296115,
CG0660,Pancreas cancer,2002,Male,Age_all,[All],24.00000000,1.34831461,8.47366815,10.91300967,
CG0670,"Trachea, bronchus, lung cancers",2002,Male,Age_all,[All],149.00000000,8.37078652,50.36488643,67.75160171,
CG0740,Bladder cancer,2002,Male,Age_all,[All],19.00000000,1.06741573,6.64134657,8.63946599,
CG0741,Brain and nervous system cancers,2002,Male,Age_all,[All],20.00000000,1.12359551,7.56158360,9.09417473,
CG0660,Pancreas cancer,2003,All,Age_all,[All],51.00000000,1.29770992,6.85404457,11.29217961,
CG0690,Breast cancer,2003,All,Age_all,[All],79.00000000,2.01017812,11.07323275,17.49180763,
CG0731,Testicular cancer,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0741,Brain and nervous system cancers,2003,All,Age_all,[All],24.00000000,0.61068702,3.74871745,5.31396688,
CG0750,"Lymphomas, multiple myeloma",2003,All,Age_all,[All],41.00000000,1.04325700,6.03982583,9.07802675,
